,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
2025391,4,B0001US6BY,hot women low budget flick,1484784000,,26,4.4
2025392,5,B0001US6BY,AWESOME,1483660800,,7,7.0
2025393,3,B0001US6BY,Fight scenes and acting need work. but ok for a B movie.,1482969600,,56,3.75
2025414,3,B0001US6BY,"Sort of basic plot,  corny but interesting,..  some what corny,... but yet kinda entertaining.  Not a complete waste of time.",1482624000,,125,5.15
2025415,5,B0001US6BY,The movie was very good I really really enjoyed it,1479427200,,50,4.1
2025416,2,B0001US6BY,takes three beers,1479254400,,17,5.0
2025417,3,B0001US6BY,"This is a good adventure movie with lots of action. It is a bit unrealistic, but entertaining.",1477094400,,94,4.588235294117647
2025418,1,B0001US6BY,"Poor film, did not make it pass 5 min.",1474848000,,38,3.3333333333333335
2025419,2,B0001US6BY,"Poor quality, low-budget film.  I couldn't get through, just turned it off before it ended.",1473465600,,91,5.066666666666666
2025420,5,B0001US6BY,good,1472774400,,4,4.0
2025421,5,B0001US6BY,Poor acting but the Smokin' Hot Latina's made it tolerable.,1471824000,,59,5.0
2025422,3,B0001US6BY,was ok a little far fetched,1467158400,,27,3.6666666666666665
2025423,1,B0001US6BY,Terrible,1466380800,,8,8.0
2025434,5,B0001US6BY,Good,1466035200,,4,4.0
2025435,4,B0001US6BY,"A pretty powerful lady!  A twist from the usual, the powerful man.  Nice surprise!",1465948800,,82,4.785714285714286
2025436,2,B0001US6BY,could have been a better movie had there been real actors.  the actors were all b calls or less.  lines were memorized and recited like a high school student recting from meory,1465689600,,176,4.46875
2025437,1,B0001US6BY,Poor,1465084800,,4,4.0
2025438,5,B0001US6BY,Good movie,1463875200,,10,4.5
2025439,1,B0001US6BY,It was bad,1463443200,,10,2.6666666666666665
2025440,2,B0001US6BY,Mediocre and boring.,1462838400,,20,6.0
2025441,1,B0001US6BY,Very bad,1462406400,,8,3.5
2025442,5,B0001US6BY,It kept me interested and it was action packed,1462233600,,46,4.222222222222222
2025443,2,B0001US6BY,Hoie and hype with questionable editing and acting.,1457222400,,51,5.5
2025454,2,B0001US6BY,it was ok...poorly shot and written.,1455580800,,36,5.166666666666667
2025455,2,B0001US6BY,Not good to watch,1454889600,,17,3.5
2025456,1,B0001US6BY,Not god,1454198400,,7,3.0
2025457,3,B0001US6BY,Poor acting and script,1453680000,,22,4.75
2025458,1,B0001US6BY,"I only got into 8 minutes and it is the worst acting I have ever seen.
This doesn't even rate a B Movie",1451520000,,103,3.5217391304347827
2025459,4,B0001US6BY,it was an ok movie..,1448323200,,20,3.2
2025460,1,B0001US6BY,STUPID,1448323200,,6,6.0
2025461,1,B0001US6BY,"Horrible acting, don't waste your time",1448323200,,38,5.5
2025462,5,B0001US6BY,Good little movie,1448236800,,17,5.0
2025463,3,B0001US6BY,Action but glad I did not pay for it,1447718400,,36,3.111111111111111
2025485,5,B0001US6BY,great movie,1446249600,,11,5.0
2025486,1,B0001US6BY,sucks,1444867200,,5,5.0
2025487,3,B0001US6BY,story of sister discovering her brothers killer,1444435200,,47,5.857142857142857
2025488,5,B0001US6BY,High energy!!,1444176000,,13,6.0
2025489,4,B0001US6BY,Very nice and has some action.,1443398400,,30,4.166666666666667
2025490,2,B0001US6BY,Was there a plot to it?,1443139200,,23,3.0
2025491,2,B0001US6BY,"It was ok, a bit cheesy",1441152000,,23,3.0
2025492,5,B0001US6BY,i liked it,1440720000,,10,2.6666666666666665
2025493,1,B0001US6BY,"Depending on how you look at it, this is either a five-star masterpiece of a trainwreck or a very generous one-star for the critical reviewers.

Terrible script, directing, acting, editing, soundtrack -- what a marvel of a horrifically bad movie!

P.S. Blink and you'll miss Eva Longoria",1439596800,2,287,5.085106382978723
2025494,2,B0001US6BY,Ehhhh ok movie nice boobs,1438992000,,25,4.2
2025505,1,B0001US6BY,"I stopped watching it after the first 5-10 mins. I like indie films, but this was a bad one (I tried giving it a chance, but it -the movie - never got to the point(",1437609600,,164,3.7142857142857144
2025506,5,B0001US6BY,As promised.,1435190400,,12,5.5
2025507,3,B0001US6BY,Contrived but entertaining - lot of violence.,1434499200,,45,5.571428571428571
2025508,2,B0001US6BY,It was ok,1429574400,,9,2.3333333333333335
2025509,2,B0001US6BY,Great looking cover but not much content,1428105600,,40,4.857142857142857
2025510,1,B0001US6BY,Horrible movie! The acting was horrendous and plot simple and predictable.,1426809600,,74,5.818181818181818
2025511,5,B0001US6BY,"The acting is Horrific!
EPIC fun!",1425168000,,33,4.666666666666667
2025512,2,B0001US6BY,HOT Chicks!! Lousy acting & sound effects. Definitely a  B- or C movie.,1424390400,,71,4.461538461538462
2025513,1,B0001US6BY,terrrible fighting sound fake,1423267200,,29,6.5
2025514,2,B0001US6BY,Dumb and dumest.,1417824000,,16,4.666666666666667
2025535,2,B0001US6BY,not well made,1417305600,,13,3.6666666666666665
2025536,1,B0001US6BY,I wish there was a negative rating I could give this horrible thing. I couldn't get more than 30 seconds into it before I had to turn it of.,1417132800,,140,3.8620689655172415
2025537,1,B0001US6BY,"Senorita Justice is a Movie cast with Mostly Mexicans and Ricans and Non-Cubans perhaps some locals I see A Girl I believe Looks like a Vanessa I know who is not a good person. Other than that,the movie is slow in action,the camera can't keep up the acting is horrible the Telenovela Actresses specially the blonde with that Terrible Accent(its her real accent she speaks Horrible.)And EVA Never cared for. This is NOT Miami,this what some Outta Towners as Usual came and Filmed what they believe is Miami. The movie is awful.",1389916800,2,526,4.728260869565218
2025538,3,B0001US6BY,This movie could have been a lot better if there were better dialogue and better action sequences.  But I enjoyed the film because it was different.,1388016000,,148,4.6923076923076925
2025539,1,B0001US6BY,This was terrible could not make it pass 30 mins. Glad it was free with amazon prime. I wish I would have read the reviews.,1387929600,,123,3.96
2025540,1,B0001US6BY,This is a low cheap budget terrible horrible video bad directors bad amateur actors a lot of producers I think each gave 20 box this is a home VHS video bad quality we never know why Eva was part of this horrible video ... Bad video,1374451200,,232,4.065217391304348
2025541,2,B0001US6BY,"When I started watching this movie, I thought that it was going to be excellent eye candy, if nothing else.  The Latina girls are all so gorgeous.  But, as I watch the movie, everything that could kill a movie's appeal was happening one after another, and then so on and so on, and it just ended up being an outright miserable disaster.

The three bad things about this movie:
The editing, the soundtrack music, and the unappealing gangland attitude.

The three good things about this film:
The beautiful girls, the three main girls of this film.  They were all so beautiful.

But the story, though it had good potential, was just ruined by having a terrible director, writer, and cutting editor.

I hope this movie didn't destroy the careers of the three beautiful girls in this movie.",1316563200,2,786,4.693430656934306
2025542,5,B0001US6BY,"..... you have a case of alvinolagnia and enjoy watching blue-jean baby queens who can kick butt.  The plot, based upon a woman's need to avenge the killing of her brother, is bettered by her desire to follow God's Will in so doing.  My five-star rating is based upon these parameters alone.",1296777600,,291,4.576923076923077
2025543,4,B0001US6BY,Movie was well acted and the actors portrayed their parts in such a manner as to lead a person into believing the story. I enjoyed the movie.,1244419200,,141,4.2592592592592595
2025544,3,B0001US6BY,"First off, the one good thing about this movie is EDITH GONZALEZ who plays the detective in charge of the murder of high powered lawyer Ana (Yancy Medina), whos brother is murdered. Great acting on Edith's part! Everyone else, just ok, with the exception of Eva Longoria who barely has a role so there's not much to judge.

To clear one thing up, I've read the reviews written here and most have gotten Edith Gonzalez, who plays the detective, confused with Yancy Medina who plays Ana Rios, the supposed star of this movie.

Overall this is a regular movie, not great, not horrible.",1142208000,3,582,4.640776699029126
8016599,4,B0001US6BY,"Senorita Justice is a good flick for a B movie, this women joins the police department and of course she tries to get the bad guys. I love women in this role, oh by the way Eve Longoria was in the movie for a cup of coffee only.",1508803200,,228,3.7708333333333335
8016600,1,B0001US6BY,OMG what a waste of time,1487462400,,24,3.1666666666666665
8016601,3,B0001US6BY,The acting was so-so and it seamed poorly made.,1486598400,,47,4.333333333333333
8016602,1,B0001US6BY,It truly was not a good movie.,1486598400,,30,3.4285714285714284
8016603,5,B0001US6BY,great movie,1486252800,,11,5.0
8016604,2,B0001US6BY,Great if you like high school level acting and scantily clad women. Otherwise don't water your time.,1486252800,,100,4.9411764705882355
8016605,1,B0001US6BY,Very bad actors,1486166400,,15,4.333333333333333
8016606,1,B0001US6BY,Don't waste your time or bandwidth,1486166400,,34,4.833333333333333
8016607,5,B0001US6BY,Ok movie enjoyed it.,1486166400,,20,4.25
8016608,1,B0001US6BY,What a joke,1486166400,,11,3.0
